"City of Residence, current","Country of Residence, current",Gender,Latest education status,Choose the digital tools you are currently using for learning:,Industry that you are currently in:,Current stage of DATA CAREER,Is your work city the same as your city of residence?,Work location - specify city,Monthly Salary Range (Or monthly income from main source),Type of work,Work set-up,What best describes MAJORITY of your day-to-day role?,What other descriptions comprise the REST of your role? (Click all that apply),What is the size of your Data Team?,What are the data INGESTION tools you currently use? (Optional),What are the data TRANSFORMATION tools you currently use?  (Optional),What are the data WAREHOUSES you currently use?   (Optional),What are the data ORCHESTRATION tools you currently use?   (Optional),What are the BUSINESS INTELLIGENCE tools you currently use?  (Optional),What are the REVERSE ETL tools you currently use?   (Optional),What are the DATA QUALITY tools you currently use? (Optional),What are the DATA CATALOGS you currently use?   (Optional),What are the cloud platforms that you currently use?    (Optional),What are the non-cloud platforms that you currently use?  (Optional),Which of the following general tools do you use? Choose all that apply.,Which of the following do you use on a regular basis? Choose all that apply.,Do you currently use AI in your workflow or study? Choose all that apply.,Do you use any of the following hosted notebook products?,What hardware do you currently use for data?,Whether or not aware of the free resources in the DEP website,"If aware of the free resources, have you used at least one of the resources in the DEP website?","Thinking of data-related communities, what other Facebook communities do you follow?",Any specific needs you are trying to address by joining DEP Facebook group?,"Any specific tasks, skills, knowledge or resources you are willing to contribute to the group?","Thinking of ways to improve communications in the group, do you have any suggestions?","Thinking of your most recent job, which platform or method gave you the most success?",Type of employer,Age
"Quezon City, Philippines",Philippines,LGBTQ+,College degree,"Coursera, edX",Not working,Career shifter,Work city same as residence,Unemployed,"a.100,001 to 125,000",Other - specify,Unemployed,Unemployed,Unemployed,none,/,NONE,NONE, _,/, ,NONE,none,Amazon Web Services (AWS),. ,"Google sheets, Excel, Google Drive, Zoom, Google Meet, Discord",Excel,"Chatgpt, Gemini","Kaggle Notebooks, Colab Notebooks",laptop,"No, I just found out now.","No, I just browsed through.",,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups","As an introvert, I sometimes stay at home and, when I am outside, I simply listen to people if they do not ask me.",LinkedIn,Local employer,26
Cavite,Philippines,Prefer not to say,College degree,"Coursera, edX, IBM Skills Gateway, Udemy, W3Schools","IT, BPO, and Business Services",Career shifter,Work city different from residence,"General Trias, Cavite","95,001 to 100,000",Full-time,Mostly work from home/ fully remote,Management,"Management, Business Analyst, Product Advocate",2 to 3,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Monday.com, MS Teams, Slack",None,Chatgpt,/,desktop,"No, I just found out now.","No, I just browsed through.",,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Coordinate during events, Joint initiative with other groups, Lead a study group, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",not applicable,"LinkedIn, Indeed, My network  - people I know",Multinational employer,42
"Taguig, Philippines",Philippines,Male,Master's degree,"Cisco, Coursera, Datacamp, Udemy","IT, BPO, and Business Services",Student/ New grad/ Career Break, ,/,,-,.,None, ,_, ,-, _,none,None,None, ,_,na,none,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet","Python, SQL",Chatgpt,PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.","Data Analytics Philippines, Datasense Philippines, Power BI Philippines UG, Project SPARTA","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition",Answer surveys,None, ,Local employer,38
"Taguig, Philippines",Philippines,Male,College degree,Datacamp,"IT, BPO, and Business Services",Student/ New grad/ Career Break, ,NONE,,. ,NONE, , , ,. ,/, ,_,_,None,not applicable,NONE, _,none,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Slack, Discord",SQL,"Chatgpt, Copilot","Kaggle Notebooks, Azure Notebooks, IBM Watson Studio, Deepnote Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","DevOps Philippines, Java User Group Philippines, PyData Philippines, Python Philippines, R User Group - Philippines","Decision to shift, Upskill / Skill acquisition",Answer surveys,/,-, ,31
"san pablo city, laguna",Philippines,Prefer not to say,Secondary school student,"LinkedIn Learning, W3Schools, Youtube bootcamp",Healthcare,Freelance, ,new york,,Part-time,Unemployed,Data Analyst,"Management, Data Analyst, Business Analyst",30+,,Pandas,Big Query,"Airflow, Dagster","Power BI, Tableau",ACL,"Don't know, None",Currently building a data catalog,Snowflake,None,"Google sheets, Excel, Google Drive, Zoom, Google Meet, Slack, Discord",none,Copilot,Colab Notebooks,laptop,"No, I just found out now.","No, I just browsed through.",. ,"Continued learning, Hobbies and Interest","Answer surveys, Connect with sponsors",none so far,LinkedIn,Multinational employer,31
"Rizal, Philippines",Philippines,LGBTQ+,College degree,"Datacamp, Udemy, W3Schools","IT, BPO, and Business Services",Career shifter,Work city different from residence,Mandaluyong,"35,001 to 45,000",Full-time,100% onsite,Business Analyst,"Management, Business Analyst",2 to 3,,Pandas,,,,none,Don't know,na,,"Apache Hadoop, Apache Spark, Apache Kafka, MongoDB, PostgreSQL, SAP HANA","Google sheets, Excel, OneDrive, MS Teams","DAX (Power BI), SQL, VBA","Chatgpt, Copilot, Perplexity",One note,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Datasense Philippines, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Volunteer for group initiatives",na,LinkedIn,Local employer,33
"Pasig, Philippines",Philippines,Male,Secondary school student,Datacamp,Job Order at Municipal LGU,Career shifter,-,Metro manila,"75,001 to 85,000",Contract fixed timeline,Unemployed as of the moment,Data Engineer,Analytics Engineer,30+,,,,,,Don't know,dbt,Castor,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Microsoft Azure",NONE,"Excel, Google Drive",SQL,"Chatgpt, Claude, Github copilot",-,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.", _,"Career advancement, Continued learning, Upskill / Skill acquisition",Answer surveys,. ,LinkedIn,None,20
Santa Rosa City,Philippines,Male,College degree,Not currently using any digital tools for learning,Career shifters ,Student/ New grad/ Career Break,not applicable, _,, _,.,None,. , _,. , , ,. , ,/, ,na,-,-,"Google sheets, Google Drive, Zoom, Discord",Stata,"Copilot, Gemini", ,laptop,"No, I just found out now.","No, I just browsed through.",.,"Continued learning, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups",.,NONE,Multinational employer,25
"San Pablo City, Laguna",Philippines,Female,Master's degree,Not currently using any digital tools for learning,Banking / Finance / Insurance,Career shifter,_,"Los Banos, Laguna","a.100,001 to 125,000",Internship,100% onsite,"Water supply engineer, data management, power platform","Data Engineer, Data Analyst",30+,none,"Pandas, Spark",PostgreSQL,_,Looker,,,,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Microsoft Azure, Snowflake, Databricks","Apache Spark, MongoDB, PostgreSQL, IBM Db2, MySQL","Google sheets, Excel, Google Drive, Trello, Zoom, MS Teams, Google Meet",Python,Chatgpt,,laptop,"No, I just found out now.","No, I just browsed through.",,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",_,,Jobstreet,Multinational employer,27
"Taguig, Philippines",Philippines,Male,College degree,"Datacamp, Freecodecamp, LinkedIn Learning, MicrosoftLearn, Youtube bootcamp, Forex Trading","IT, BPO, and Business Services",Freelance,Work city different from residence,US,"15,001 to 25,000",Freelance,Mostly work from home/ fully remote,Management,Management,30+,Don't know,Don't know,,,,,,Don't know,Don't know,,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Slack, Discord","Javascript, Python, SQL, Typescript","Chatgpt, Copilot, Gemini",PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.",Only DEP right now ,Continued learning,"Answer surveys, Connect with sponsors",na,My network  - people I know,Multinational employer,44
"Quezon City, Philippines",Philippines,Male,College degree,Not currently using any digital tools for learning,Government Employee,Professional,Work city same as residence,Quezon city,"55,001 to 65,000",Full-time,Mostly work from home/ fully remote,Data Scientist,"Management, Data Engineer, Data Analyst, Business Analyst, Analytics Engineer, Machine Learning Engineer, AI Engineer",. ,Don't know,,"AWS Redshift, Snowflake, Hadoop","Airflow, AWS Step Function",Power BI,,. ,,,,"Google sheets, Excel, Google Drive, OneDrive, Monday.com",M language (Power Query),"No, I do not use AI currently",-,laptop,"No, I just found out now.","No, I just browsed through.","AI Pilipinas, AIM-Master of Science in Data Science, Data Analytics Philippines, Data Science Manila, Data Science Philippines, Data Science Philippines Discussion Group (Moderated), Databeers Manila, MS in Data Science - AIM Group",Upskill / Skill acquisition,Answer surveys,. ,"LinkedIn, Jobstreet",Local employer,30
"Rizal, Philippines ",Philippines,Female,College degree,LinkedIn Learning,Government Employee,Professional,Work city different from residence,Taguig City,"75,001 to 85,000",Full-time,Hybrid,Developer,"Data Engineer, Cloud Architect, Developer",4 to 5,Don't know,Don't know,Don't know,Don't know,Power BI,Don't know,Don't know,Datahub,"Amazon Web Services (AWS), Snowflake",SAP HANA,"Google sheets, Excel, Google Drive, Zoom, Google Meet","SQL, VBA","Chatgpt, Copilot",,laptop,"No, I just found out now.",not applicable,"Community: SPARTA PH, Data Analytics Philippines, DEVCON Community Group, DEVCON Philippines, FTW Foundation","Career advancement, Continued learning","Co-training/ Training, Volunteer for group initiatives", ,My network  - people I know,Local employer,34
"Masbate, Philippines",Philippines,Male,Master's degree,"AWS Cloud Certification, Coursera, W3Schools",Not working,Student/ New grad/ Career Break,na, ,,-,_,-,_,_,none,-, , _, , ,-,_,-,/,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Discord",SQL,Chatgpt,Kaggle Notebooks,laptop,"No, I just found out now.","No, I just browsed through.","Data Analytics Philippines, Datasense Philippines, Project SPARTA",Not a member. Not interested to join thr FB group,"Answer surveys, Coordinate during events",setting a clear guideline for learner.,/,Local employer,26
"Manila, Philippines",Philippines,Female,Other - specify,"Codecademy, Coursera, edX, Freecodecamp, MicrosoftLearn, Udemy, W3Schools, Youtube bootcamp",Manufacturing,Professional,Work city same as residence,"MOA Complex, Pasay City","35,001 to 45,000",Full-time,Hybrid,Data Scientist,"Management, Data Engineer, Data Analyst, Business Analyst, Analytics Engineer, Machine Learning Engineer",30+,,"Pandas, Spark","Databricks, Big Query",SQL Server Agent,Tableau,,,,"Google Cloud Platform (GCP), Databricks",Apache Spark,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Discord",Python,Chatgpt,"Colab Notebooks, Google Cloud Vertex AI Workbench, Databricks Collaborative Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Data Science Philippines, Data Science Philippines Discussion Group (Moderated)",not applicable,"Joint initiative with other groups, Co-training/ Training, Volunteer for group initiatives",I don't have any suggestions at the moment.,My network  - people I know,Student,23
"Laguna, Philippines",Philippines,Prefer not to say,College degree,"Coursera, Datacamp, Freecodecamp, Google Analytics, LinkedIn Learning, MicrosoftLearn",Not working,Student/ New grad/ Career Break,none,_,,-,na,_,none,na,., _, _,-,. ,_,na,/,/,NONE,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord",DAX (Power BI),"Chatgpt, Copilot, Gemini",Kaggle Notebooks,laptop,"No, I just found out now.","Yes, I have used at least one resource.","Data Analytics Philippines, Data and Analytics Manila, Data Science Philippines Discussion Group (Moderated), Philippine Data Scientists Community - eScience",Career advancement,"Answer surveys, Volunteer for group initiatives",Group will always be better if it's moderated by a lot of people therefore I think one should decide if he/she will add other admins.,. ,Multinational employer,32
"Quezon City, Philippines",Philippines,Male,College degree,"Coursera, Datacamp",Shipping,Student/ New grad/ Career Break,None,.,, ,_,.,_,_,_,na,na,-,not applicable, _,-,not applicable,NONE,/,"Google sheets, Excel, Google Drive, MS Teams, Google Meet",. ,Chatgpt,/,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Joint initiative with other groups, Co-training/ Training",None,_,Local employer,25
"Taguig, Philippines",Philippines,Male,College degree,"Datacamp, MicrosoftLearn","IT, BPO, and Business Services",Freelance,Work city different from residence,US,"45,001 to 55, 000",Freelance,Mostly work from home/ fully remote,Business Analyst,Academic,2 to 3,Don't know,Don't know,,,,,,Currently building a data catalog,,,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Slack, Discord","DAX (Power BI), M language (Power Query)","Chatgpt, Not for work.",PythonAnywhere Jupyter Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Only DEP right now ,"Career advancement, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Joint initiative with other groups, Volunteer for group initiatives",-,LinkedIn,Multinational employer,27
Cagayan de Oro,Philippines,Female,College degree,"Coursera, Datacamp",Real Estate,Student/ New grad/ Career Break,-, _,,_, _,none,. , ,None, ,-,-,NONE,na,na,none,-, ,"Google sheets, Excel, Google Drive, Zoom","Python, Excel",Gemini,none,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",, ,"Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Resource for specific topic, Co-training/ Training",None , _,Local employer,24
"Quezon City, Philippines",Philippines,Prefer not to say,College degree,"Coursera, Datacamp, edX, Google Developers, Youtube bootcamp, Zoomcamp",Own Business/ Consultancy/Freelance,Career shifter,Work city different from residence,Taguig,"25,001 to 35,000",Freelance,Hybrid,Data Analyst,"Data Engineer, Business Analyst",6 to 10,,"Pandas, dbt, Spark",Big Query,Don't know,Don't know,Don't know,,,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Alibaba Cloud",,"Google sheets, Google Drive, Clickup, Zoom, Google Meet, Slack","Python, SQL","Chatgpt, Github copilot","Colab Notebooks, Google Cloud Vertex AI Workbench, Databricks Collaborative Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, PyData Philippines, Python Philippines, R User Group - Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Lead a study group, Mentor, Regularly post content, Resource for specific topic, Co-training/ Training, Volunteer to speak in events","Encourage active and regular participation in FB and Discord, have initiatives to welcome people into the conversations.",LinkedIn,Local employer,23
"Caloocan, Philippines",Philippines,Male,College degree,Datacamp,"IT, BPO, and Business Services",Career shifter,Work city different from residence,Mandaluyong,"35,001 to 45,000",Full-time,100% onsite,Data Engineer,"Data Engineer, Developer",1 - Just me,SSIS,"Excel, Knime","Snowflake, Vertica, MSSQL",SQL Server Agent,Tableau,-,,,Don't know,"Apache Hadoop, Apache Spark, Apache Kafka, MongoDB, PostgreSQL, SAP HANA","Google sheets, Excel, Google Drive, OneDrive, MS Teams, Slack",/,Chatgpt,PythonAnywhere Jupyter Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Design Philippines, AI Pilipinas, Analytics Association of the Philippines, Artificial Intelligence Philippines, Data Science Manila, Data Science Philippines","Career advancement, Upskill / Skill acquisition, Network",Answer surveys,I generally prefer slack since it is easy to use.,LinkedIn,none,29
